LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,LogNotes,TPS,RPM,TimingAdv,FuelTrim_Low,FuelTrim_Mid,FuelTrim_High,FuelTrim_InUse,O2FeedbackTrim,CoolantTemp,Battery,Speed,Load1B,KnockSum,CoolantTempScaled,WideBandAF,InjPulseWidth,InjDutyCycle,FuelConsumption,MAP,AirTemp,MAFAirTempScaled,ZTXBoost,ZTXEGT,Baro,AirFlow,AccelEnrich,O2Sensor,TargetIdleRPM,O2Sensor2,Gear,AirVol,JDMMAP,KnockSum3E,ISCSteps,CrankSignalSw,IdlePosSw,PwrSteeringSw,ACSwitch,ACRelaySw,InhibitorSw,AFRMAP,LoadCalc,Load11bit4,ECULoad,InjectorLatency,LoadMUT2Byte,RPMMUT2Byte,AirFlowMUT2Byte,OctaneFlag,EGRTemp,MATScaled,WGDC,LoadError,WGDCCorr,GMMAP,MAPScaled,gmas,LC1WidebandO2,WB02,Alt_Maps,ZTXRPM,ZTXTPS,ZTXUser1,ZTXUser2,ZTXConfig,LC1RPM,LC1Battery,LC1Aux1,LC1Aux2,LC1Aux3,LC1Aux4,LC1Aux5,TestE1,TestE4,KnockVoltage,Knock_72,knock_adc,knock_base,knock_var,knock_change,knock_dynamics,knock_flag,EFI_ClearDTC,DLP1Digital,DLP2Digital,DLP3Digital,DLP4Digital,DLP5Digital,DLP6Digital,DLP7Digital,DLP8Digital,DLP1Analog,DLP2Analog,DLP3Analog,DLP4Analog,DLP5Analog,DLP6Analog,DLP7Analog,DLP8Analog,DLP1Temp,DLP2Temp,DLP3Temp,DLP4Temp,DLP5Temp,DLP6Temp,DLP7Temp,DLP8Temp,Bank1,Bank2,Bank3,Bank4,Bank5,Bank6,Custom
1,2014-08-17,15:22:33.40239,0.19425,,28.6274509803922,2562.5,35,11.9140625,1.7578125,0,1.7578125,5.46875,192.2,14.00603,29.8258176,0,0,179.6,,2.816,6.08666666666667,15.0444552358428,31.53724,87.8,,,,97.02,150,,,,,,248,,14,,,,,,,,14.7,,,50.625,,,,1412.498125,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2014-08-17,15:22:33.51159,0.3048,,28.6274509803922,2593.75,36,11.9140625,1.7578125,0,1.7578125,5.859375,192.2,13.9327,29.8258176,0,0,179.6,,2.816,6.08666666666667,15.0444552358428,31.73072,87.8,,,,97.02,150,,,,,,128,,11,,,,,,,,14.7,,,51.25,,,,1412.498125,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2014-08-17,15:22:33.63639,0.43941,,28.6274509803922,2625,36,11.9140625,1.7578125,0,1.7578125,4.8828125,192.2,13.9327,29.8258176,0,0,179.6,,2.816,6.16,14.8653545782732,30.9568,87.8,,,,97.02,150,,,,,,120,,12,,,,,,,,14.7,,,51.25,,,,1437.658125,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014-08-17,15:22:33.72999,0.53139,,29.0196078431373,2625,37,11.9140625,1.7578125,0,1.7578125,3.515625,188.6,14.00603,29.8258176,0,0,179.6,,2.816,6.16,14.8653545782732,32.11768,87.8,,,,97.02,156.25,,,,,,128,,14,,,,,,,,14.7,,,51.875,,,,1437.75640625,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2014-08-17,15:22:33.87039,0.66354,,29.0196078431373,2656.25,37,11.9140625,1.7578125,0,1.7578125,3.125,188.6,14.00603,29.8258176,0,0,179.6,,2.816,6.23333333333333,14.690468053823,32.31116,87.8,,,,97.02,156.25,,,,,,232,,16,,,,,,,,14.7,,,51.875,,,,1437.75640625,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2014-08-17,15:22:33.96399,0.7635,,29.0196078431373,2656.25,37,11.9140625,1.7578125,0,1.7578125,5.2734375,188.6,13.85937,31.06856,0,0,179.6,,3.072,6.8,14.0273566486157,32.31116,87.8,,,,97.02,156.25,,,,,,0,,14,,,,,,,,14.7,,,52.5,,,,1437.75640625,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2014-08-17,15:22:34.08879,0.89358,,29.4117647058824,2656.25,37,11.9140625,1.7578125,0,1.7578125,6.25,188.6,13.9327,31.06856,0,0,179.6,,3.072,6.8,14.0273566486157,32.69812,87.8,,,,97.02,162.5,,,,,,192,,14,,,,,,,,14.7,,,52.5,,,,1437.75640625,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2014-08-17,15:22:34.21359,1.01578,,29.4117647058824,2687.5,37,11.9140625,1.7578125,0,1.7578125,5.2734375,188.6,13.9327,31.06856,0,0,179.6,,2.816,6.30666666666667,15.1246340185919,31.73072,87.8,,,,97.02,162.5,,,,,,200,,14,,,,,,,,14.7,,,52.5,,,,1437.75640625,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2014-08-17,15:22:34.35399,1.15489,,29.4117647058824,2687.5,37,11.9140625,1.7578125,0,1.7578125,4.296875,188.6,13.9327,31.06856,0,0,179.6,,2.816,6.30666666666667,15.1246340185919,32.8916,87.8,,,,97.02,162.5,,,,,,80,,12,,,,,,,,14.7,,,56.875,,,,1336.91984375,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2014-08-17,15:22:34.43199,1.23487,,39.2156862745098,2718.75,33,11.9140625,1.7578125,0,1.7578125,3.125,188.6,13.85937,31.06856,0,0,179.6,,4.608,10.56,9.03276753888131,43.14604,87.8,,,,97.02,250,,,,,,208,,13,,,,,,,,14.7,,,80.625,,,,1185.17359375,,,-40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
