LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,LogNotes,TPS,RPM,TimingAdv,FuelTrim_Low,FuelTrim_Mid,FuelTrim_High,FuelTrim_InUse,O2FeedbackTrim,CoolantTemp,Battery,Speed,Load1B,KnockSum,CoolantTempScaled,WideBandAF,InjPulseWidth,InjDutyCycle,FuelConsumption,MAP,AirTemp,MAFAirTempScaled,ZTXBoost,ZTXEGT,Baro,AirFlow,AccelEnrich,O2Sensor,TargetIdleRPM,O2Sensor2,Gear,AirVol,JDMMAP,KnockSum3E,ISCSteps,CrankSignalSw,IdlePosSw,PwrSteeringSw,ACSwitch,ACRelaySw,InhibitorSw,AFRMAP,LoadCalc,Load11bit4,ECULoad,InjectorLatency,LoadMUT2Byte,RPMMUT2Byte,AirFlowMUT2Byte,OctaneFlag,EGRTemp,MATScaled,WGDC,LoadError,WGDCCorr,GMMAP,MAPScaled,gmas,LC1WidebandO2,WB02,Alt_Maps,ZTXRPM,ZTXTPS,ZTXUser1,ZTXUser2,ZTXConfig,LC1RPM,LC1Battery,LC1Aux1,LC1Aux2,LC1Aux3,LC1Aux4,LC1Aux5,TestE1,TestE4,KnockVoltage,Knock_72,knock_adc,knock_base,knock_var,knock_change,knock_dynamics,knock_flag,EFI_ClearDTC,DLP1Digital,DLP2Digital,DLP3Digital,DLP4Digital,DLP5Digital,DLP6Digital,DLP7Digital,DLP8Digital,DLP1Analog,DLP2Analog,DLP3Analog,DLP4Analog,DLP5Analog,DLP6Analog,DLP7Analog,DLP8Analog,DLP1Temp,DLP2Temp,DLP3Temp,DLP4Temp,DLP5Temp,DLP6Temp,DLP7Temp,DLP8Temp,Custom
1,2025-11-19,18:08:43.80266,0.21851,,22.7450980392157,2687.5,38,5.46875,-0.390625,0,-0.390625,11.1328125,89,13.9327,36,0,0,,0,1.792,4.01333333333333,,1.22728,17,18,,,100.45,81.25,32.9411764705882,0.8784,850.2,0.0976,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-11-19,18:08:43.91658,0.33157,,23.1372549019608,2718.75,40,5.46875,-0.390625,0,-0.390625,10.3515625,89,14.00603,36,0,0,,0,1.792,4.01333333333333,,1.2673,17,18,,,100.45,81.25,33.7254901960784,0.8784,850.2,0.0976,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-11-19,18:08:44.05062,0.46643,,23.5294117647059,2656.25,40,5.46875,-0.390625,0,-0.390625,9.375,89,13.9327,36,0,0,,0,1.792,4.01333333333333,,1.2673,17,18,,,100.45,87.5,35.2941176470588,0.8784,850.2,0.11712,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-11-19,18:08:44.18353,0.59839,,23.5294117647059,2718.75,41,5.46875,-0.390625,0,-0.390625,8.3984375,89,14.00603,36,0,0,,0,1.792,4.10666666666667,,1.28064,17,18,,,100.45,87.5,34.5098039215686,0.8784,850.2,0.11712,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-11-19,18:08:44.31349,0.72844,,23.5294117647059,2750,41,5.46875,-0.390625,0,-0.390625,7.421875,89,13.85937,36,0,0,,0,1.792,4.10666666666667,,1.30732,17,18,,,100.45,87.5,34.5098039215686,0.8784,850.2,0.11712,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-11-19,18:08:44.41519,0.83018,,23.5294117647059,2781.25,41,5.46875,-0.390625,0,-0.390625,6.4453125,89,13.9327,36,0,0,,0,1.792,4.15333333333333,,1.28064,17,18,,,100.45,87.5,34.5098039215686,0.8784,850.2,0.11712,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-11-19,18:08:44.50308,0.91813,,23.5294117647059,2812.5,41,5.46875,-0.390625,0,-0.390625,5.6640625,89,13.9327,36,0,0,,0,1.536,3.56,,1.2673,17,18,,,99.96,87.5,34.5098039215686,0.8784,850.2,0.11712,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-11-19,18:08:44.61817,1.03306,,23.5294117647059,2812.5,41,5.46875,-0.390625,0,-0.390625,4.8828125,89,13.9327,36,0,0,,0,1.536,3.6,,1.29398,17,18,,,100.45,87.5,33.7254901960784,0.85888,850.2,0.11712,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-11-19,18:08:44.75698,1.17293,,23.5294117647059,2843.75,42,5.46875,-0.390625,0,-0.390625,3.90625,89,14.00603,36,0,0,,0,1.536,3.64,,1.25396,17,18,,,100.45,87.5,33.7254901960784,0.85888,850.2,0.13664,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-11-19,18:08:44.89788,1.31288,,23.5294117647059,2843.75,42,5.46875,-0.390625,0,-0.390625,2.734375,89,14.00603,36,0,0,,0,1.536,3.68,,1.22728,17,18,,,100.45,87.5,33.7254901960784,0.85888,850.2,0.13664,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
