LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,LogNotes,MUT00_HighByte,MUT01_LowByte,LoadMUT2Byte,TPS,RPM,TimingAdv,FuelTrim_Low,FuelTrim_Mid,FuelTrim_High,FuelTrim_InUse,O2FeedbackTrim,CoolantTemp,Battery,Speed,Load1B,KnockSum,CoolantTempScaled,WideBandAF,InjPulseWidth,InjDutyCycle,FuelConsumption,MAP,AirTemp,MAFAirTempScaled,ZTXBoost,ZTXEGT,Baro,AirFlow,AccelEnrich,O2Sensor,TargetIdleRPM,O2Sensor2,Gear,AirVol,JDMMAP,KnockSum3E,ISCSteps,CrankSignalSw,IdlePosSw,PwrSteeringSw,ACSwitch,ACRelaySw,InhibitorSw,AFRMAP,LoadCalc,Load11bit4,ECULoad,InjectorLatency,RPMMUT2Byte,AirFlowMUT2Byte,OctaneFlag,EGRTemp,MATScaled,WGDC,LoadError,WGDCCorr,GMMAP,MAPScaled,gmas,LC1WidebandO2,WB02,Alt_Maps,ZTXRPM,ZTXTPS,ZTXUser1,ZTXUser2,ZTXConfig,LC1RPM,LC1Battery,LC1Aux1,LC1Aux2,LC1Aux3,LC1Aux4,LC1Aux5,TestE1,TestE4,KnockVoltage,Knock_72,knock_adc,knock_base,knock_var,knock_change,knock_dynamics,knock_flag,EFI_ClearDTC,DLP1Digital,DLP2Digital,DLP3Digital,DLP4Digital,DLP5Digital,DLP6Digital,DLP7Digital,DLP8Digital,DLP1Analog,DLP2Analog,DLP3Analog,DLP4Analog,DLP5Analog,DLP6Analog,DLP7Analog,DLP8Analog,DLP1Temp,DLP2Temp,DLP3Temp,DLP4Temp,DLP5Temp,DLP6Temp,DLP7Temp,DLP8Temp,Custom
1,2026-03-07,16:34:32.15801,0.17067,,,,,15.6862745098039,875,4,6.25,0.5859375,0,6.25,1.953125,195.8,14.15269,0,0,0,183.2,,1.536,1.12,0,19.73496,82.4,87.8,,,98.98,25,,0.05856,,0.62464,0,96,,33,36,,,,,,,14.7,,,27.5,18,224000,604.233125,100,262.9,-40,100,,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-07,16:34:32.27107,0.28425,,,,,15.6862745098039,875,4,6.25,0.5859375,0,6.25,2.1484375,195.8,14.07936,0,0,0,183.2,,1.536,1.12,0,18.96104,82.4,87.8,,,98.98,25,,0.05856,,0.64416,0,96,,33,36,,,,,,,14.7,,,27.5,18,224000,654.7496875,100,262.9,-40,100,,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-07,16:34:32.46964,0.48252,,,,,15.6862745098039,875,6,6.25,0.5859375,0,6.25,2.34375,195.8,14.07936,0,0,0,183.2,,1.536,1.12,0,18.96104,82.4,87.8,,,98.98,25,,0.0976,,0.64416,0,112,,33,36,,,,,,,14.7,,,27.5,18,224000,604.233125,100,262.9,-40,100,,63.5,,0,207.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-07,16:34:32.62650,0.64013,,,,,15.6862745098039,875,4,6.25,0.5859375,0,6.25,2.5390625,195.8,14.22602,0,0,0,183.2,,1.536,1.12,0,19.54148,82.4,87.8,,,98.98,25,,0.54656,,0.5856,0,112,,34,36,,,,,,,14.7,,,27.5,18,224000,629.5896875,100,262.9,-40,100,,63.5,,0,207.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-07,16:34:32.75225,0.7648,,,,,15.6862745098039,875,5,6.25,0.5859375,0,6.25,2.734375,195.8,14.07936,0,0,0,183.2,,1.536,1.12,0,19.54148,82.4,87.8,,,98.98,25,,0.72224,,0.52704,0,80,,33,36,,,,,,,14.7,,,26.875,18,224000,604.233125,100,262.9,-40,100,,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-07,16:34:32.95311,0.96563,,,,,15.6862745098039,875,4,6.25,0.5859375,0,6.25,2.5390625,195.8,14.15269,0,0,0,183.2,,1.536,1.12,0,19.348,82.4,87.8,,,98.98,25,,0.81984,,0.42944,0,88,,34,36,,,,,,,14.7,,,27.5,18,224000,604.33140625,100,262.9,-40,100,,63.5,,0,207.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-07,16:34:33.16728,1.17987,,,,,15.6862745098039,875,4,6.25,0.5859375,0,6.25,2.34375,195.8,14.15269,0,0,0,183.2,,1.536,1.12,0,18.96104,82.4,87.8,,,98.98,25,,0.81984,,0.11712,0,64,,33,36,,,,,,,14.7,,,26.875,18,224000,629.5896875,100,262.9,-40,100,,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-07,16:34:33.36689,1.37969,,,,,15.6862745098039,875,6,6.25,0.5859375,0,6.25,2.1484375,195.8,14.07936,0,0,0,183.2,,1.536,1.12,0,18.96104,82.4,87.8,,,98.98,25,,0.7808,,0,0,80,,34,36,,,,,,,14.7,,,27.5,18,224000,629.49140625,100,262.9,-40,100,,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-07,16:34:33.53050,1.54321,,,,,15.6862745098039,875,5,6.25,0.5859375,0,6.25,1.7578125,195.8,14.22602,0,0,0,183.2,,1.536,1.12,0,19.54148,82.4,87.8,,,98.98,25,,0.7808,,0,0,64,,34,36,,,,,,,14.7,,,26.875,18,192000,604.233125,100,262.9,-40,100,,63.5,,0,207.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-07,16:34:33.71364,1.72637,,,,,15.6862745098039,875,4,6.25,0.5859375,0,6.25,1.5625,195.8,14.15269,0,0,0,183.2,,1.536,1.12,0,19.348,84.2,87.8,,,98.98,25,,0.66368,,0,0,88,,34,35,,,,,,,14.7,,,27.5,18,224000,654.65140625,100,262.9,-40,100,,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
