LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,01_LogMark,MUT00_HighByte,MUT01_LowByte,LoadMUT2Byte,TPS,RPM,TimingAdv,FuelTrim_Low,FuelTrim_Mid,FuelTrim_High,FuelTrim_InUse,O2FeedbackTrim,CoolantTemp,Battery,Speed,Load1B,KnockSum,CoolantTempScaled,WideBandAF,InjPulseWidth,InjDutyCycle,FuelConsumption,MAP,AirTemp,MAFAirTempScaled,ZTXBoost,ZTXEGT,Baro,AirFlow,AccelEnrich,O2Sensor,TargetIdleRPM,O2Sensor2,Gear,AirVol,JDMMAP,KnockSum3E,ISCSteps,CrankSignalSw,IdlePosSw,PwrSteeringSw,ACSwitch,ACRelaySw,InhibitorSw,AFRMAP,LoadCalc,Load11bit4,ECULoad,InjectorLatency,RPMMUT2Byte,AirFlowMUT2Byte,OctaneFlag,EGRTemp,MATScaled,WGDC,LoadError,WGDCCorr,GMMAP,MAPScaled,gmas,LC1WidebandO2,WB02,Alt_Maps,ZTXRPM,ZTXTPS,ZTXUser1,ZTXUser2,ZTXConfig,LC1RPM,LC1Battery,LC1Aux1,LC1Aux2,LC1Aux3,LC1Aux4,LC1Aux5,TestE1,TestE4,KnockVoltage,Knock_72,knock_adc,knock_base,knock_var,knock_change,knock_dynamics,knock_flag,EFI_ClearDTC,DLP1Digital,DLP2Digital,DLP3Digital,DLP4Digital,DLP5Digital,DLP6Digital,DLP7Digital,DLP8Digital,DLP1Analog,DLP2Analog,DLP3Analog,DLP4Analog,DLP5Analog,DLP6Analog,DLP7Analog,DLP8Analog,DLP1Temp,DLP2Temp,DLP3Temp,DLP4Temp,DLP5Temp,DLP6Temp,DLP7Temp,DLP8Temp,Custom
1,2026-05-31,09:15:05.69143,0.28962,0,,,,52.5490196078431,2375,12,0,0,0,0,0,84.2,14.22602,6.213712,0,0,183.2,0,6.656,14.56,1.31024759904652,47.78956,266,71.6,,,99.47,350,145.098039215686,0.85888,850.2,0.01952,13.6794238291057,216,,,,0,,0,,,,13.7343065693431,116.857087280146,190,118.125,18,,,100,262.9,-40,0,1.09375,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-31,09:15:05.99257,0.59073,0,,,,54.9019607843137,2843.75,17,0,0,0,0,0,84.2,14.15269,12.427424,0,0,183.2,0,7.424,19.3333333333333,1.97350396987421,47.78956,266,71.6,,,99.47,481.25,167.058823529412,0.8784,850.2,0.01952,8.28812149645815,80,,,,0,,0,,,,13.0666666666667,138.402519268125,220,136.25,18,,,100,262.9,-40,0,-0.78125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-31,09:15:06.25463,0.85308,0,,,,50.1960784313725,3375,14,0,0,0,0,0,84.2,14.22602,12.427424,0,1,183.2,0,8.96,27.0666666666667,1.40964569276729,47.78956,266,71.6,,,99.47,631.25,185.882352941176,0.8784,850.2,0.01952,9.65606387936873,160,,,,0,,0,,,,12.1393548387097,158.359619079871,247,153.75,18,,,100,262.9,-40,0,-1.71875,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-31,09:15:06.54252,1.14076,0,,,,47.4509803921569,3906.25,11,0,0,0,0,0,84.2,14.15269,12.427424,0,1,183.2,0,11.52,39.9,0.956250879304126,47.78956,267.8,69.8,,,98.98,818.75,200,0.89792,850.2,0.01952,11.104473461274,8,,,,0,,0,,,,11.4036363636364,176.502562270364,255,159.375,18,,,100,262.9,-40,0,-3.59375,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-31,09:15:06.82231,1.42099,0,,,,42.7450980392157,4562.5,11,0,0,0,0,0,86,14.00603,19.8838784,0,0,183.2,0,8.448,33.22,1.83765972711546,47.78956,267.8,69.8,,,99.47,543.75,122.352941176471,0.93696,850.2,0.01952,7.4935079063851,176,,,,0,,0,,,,14.7,93.8413000708594,125,76.875,18,,,100,265.6,-40,0,-12.03125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-05-31,09:15:07.15006,1.74964,0,,,,18.8235294117647,4468.75,33,0,0,0,0,-2.34375,86,14.22602,19.8838784,0,0,181.4,0,1.28,4.43333333333333,13.7700126619794,14.89796,266,71.6,,,99.47,262.5,69.8039215686274,0.64416,850.2,0.01952,6.48766791895086,152,,,,0,,1,,,,14.7,37.8636012295313,65,54.375,18,,,100,265.6,-40,0,-14.21875,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-31,09:15:07.45781,2.05684,0,,,,16.4705882352941,3843.75,38,0,0,0,0,-6.640625,86,14.29935,26.0975904,0,0,181.4,0,1.28,3.76666666666667,21.2719277460777,19.54148,262.4,73.4,,,99.47,237.5,75.2941176470588,0.56608,850.2,0,4.13831309115803,112,,,,1,,0,,,,14.7,79.0543682824219,157,97.5,18,,,100,265.6,-40,0,0,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-31,09:15:07.77456,2.37383,0,,,,53.3333333333333,3437.5,22,0,0,0,0,0,86,14.22602,26.0975904,0,0,181.4,0,7.936,22.94,3.49277511669105,47.78956,262.4,73.4,,,99.47,562.5,172.549019607843,0.8784,850.2,0.01952,4.36821937400014,24,,,,0,,0,,,,12.544,146.1278730492,238,147.5,18,,,100,265.6,-40,0,12.1875,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-31,09:15:08.08426,2.68322,0,,,,83.5294117647059,3656.25,11,0,0,0,0,0,86,14.07936,28.5830752,0,0,181.4,0,12.8,40.6666666666667,2.15791335722311,47.59608,264.2,71.6,,,98.98,843.75,200,0.89792,850.2,0.01952,4.33823159797725,32,,,,0,,0,,,,10.8763005780347,206.18511324763,255,159.375,18,,,100,265.6,-40,0,14.6875,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-31,09:15:08.36790,2.96704,0,,,,88.6274509803922,4031.25,7,0,0,0,0,0,86,14.00603,28.5830752,0,0,181.4,0,16.384,57.1733333333333,1.53489639448006,47.59608,266,71.6,,,98.98,975,200,0.89792,850.2,0.01952,4.82803193968436,208,,,,0,,0,,,,10.9395348837209,188.183293075988,255,159.375,18,,,100,265.6,-40,0,13.125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2026-05-31,09:15:08.62981,3.2284,0,,,,85.0980392156863,4375,11,0,0,0,0,0,86,14.00603,28.5830752,0,0,181.4,0,11.52,43.8,2.00354208204885,47.59608,267.8,69.8,,,98.98,875,200,0.85888,850.2,0.01952,5.17788932661801,160,,,,0,,0,,,,11.2,173.120990530179,255,159.375,18,,,100,265.6,-40,0,9.6875,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2026-05-31,09:15:08.91559,3.51492,0,,,,72.9411764705882,4781.25,11,0,0,0,0,0,86,14.00603,34.7967872,0,0,181.4,0,11.776,48.1466666666667,2.21889396778988,47.78956,269.6,69.8,,,98.98,862.5,185.882352941176,0.89792,850.2,0.01952,4.54064908613172,72,,,,0,,0,,,,12.2181818181818,95.053548110844,177,108.75,18,,,100,265.6,-40,0,-11.875,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2026-05-31,09:15:09.24036,3.83949,0,,,,17.6470588235294,4843.75,30,0,0,0,0,-1.5625,86,14.22602,34.7967872,0,0,181.4,0,1.28,4.83333333333333,22.1032444625911,14.89796,267.8,69.8,,,99.47,287.5,72.9411764705882,0.56608,850.2,0.01952,4.02335994973697,48,,,,0,,1,,,,14.7,48.1236012295312,64,45,18,,,100,265.6,-40,0,-14.21875,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2026-05-31,09:15:09.53716,4.13625,0,,,,16.4705882352941,4125,32,0,0,0,0,-6.4453125,86,14.22602,41.0104992,0,0,181.4,0,1.28,4.16666666666667,30.2182927867138,13.5436,266,71.6,,,99.96,187.5,54.9019607843137,0.52704,850.2,0.01952,2.95046396314044,0,,,,1,,0,,,,14.7,17.3436012295312,61,35,18,,,100,265.6,-40,0,-14.375,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2026-05-31,09:15:09.85882,4.45754,0,,,,16.078431372549,3593.75,36,0,0,0,0,-9.9609375,86,14.22602,41.0104992,0,0,181.4,0,2.816,7.92,15.8976708684311,12.76968,264.2,71.6,,,99.96,143.75,41.5686274509804,0.50752,850.2,0.01952,2.53593596831906,152,,,,1,,1,,,,14.7,17.3436012295312,63,41.25,18,,,100,265.6,-40,0,-14.53125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2026-05-31,09:15:10.16967,4.76835,0,,,,15.6862745098039,3000,36,0,0,0,0,-13.4765625,86,14.22602,42.2532416,0,0,181.4,0,1.792,4.2,30.8869034015233,11.6088,264.2,71.6,,,99.96,106.25,43.921568627451,0.50752,850.2,0.01952,2.05901362133598,240,,,,1,,1,,,,14.7,22.4736012295312,53,32.5,17,,,100,265.6,-40,0,-14.53125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2026-05-31,09:15:10.46536,5.06489,0,,,,15.6862745098039,2531.25,34,0,0,0,0,-16.2109375,86,14.22602,42.2532416,0,0,181.4,0,1.536,3,43.2416647621326,12.5762,264.2,71.6,,,99.96,81.25,37.6470588235294,0.50752,850.2,0.01952,1.70401127282977,184,,,,1,,0,,,,14.7,17.3436012295312,45,28.125,18,,,100,268.3,-40,17,-14.53125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2026-05-31,09:15:10.77314,5.37274,0,,,,15.6862745098039,2125,32,0,0,0,0,-17.96875,86,14.15269,42.2532416,0,0,181.4,0,1.28,2.06666666666667,62.7701585256763,12.38272,264.2,71.6,,,99.96,62.5,35.2941176470588,0.52704,850.2,0.01952,1.42000939402481,32,,,,1,,0,,,,14.7,22.3228341766406,48,29.375,17,,,100,268.3,-40,34,-14.53125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2026-05-31,09:15:11.11180,5.71035,0,,,,15.6862745098039,1750,25,0,0,0,0,-19.53125,86,14.22602,43.495984,0,0,179.6,0,1.28,1.66666666666667,80.1242611768926,12.96316,264.2,71.6,,,99.96,56.25,38.4313725490196,0.60512,850.2,0.01952,1.12654078592635,40,,,,1,,0,,,,14.7,22.4736012295312,51,31.25,18,,,100,268.3,-40,68,-14.53125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2026-05-31,09:15:11.42738,6.02648,0,,,,15.6862745098039,1406.25,19,0,0,0,0,-20.703125,86,14.29935,43.495984,0,0,179.6,0,1.536,1.68,79.4883543421555,14.511,264.2,71.6,,,99.96,50,44.7058823529412,0.7808,850.2,0.01952,0.942615759652661,176,,,,0,,1,,,,14.7,22.6243682824219,58,35.625,18,,,100,268.3,-40,100,-14.53125,63.5,,0,207.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2026-05-31,09:15:11.72347,6.3221,0,,,,15.6862745098039,1218.75,13,0,0,0,0,-22.0703125,86,14.15269,41.0104992,0,0,179.6,0,1.536,1.44,87.4371897763711,16.05884,264.2,71.6,,,99.96,43.75,41.5686274509804,0.8784,850.2,0.01952,0.877823989033521,0,,,,0,,1,,,,14.7,22.3228341766406,53,33.125,18,,,100,268.3,-40,100,-14.53125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2026-05-31,09:15:12.02898,6.62782,0,,,,15.6862745098039,1093.75,9,0,0,0,0,-22.8515625,86,14.22602,41.0104992,0,0,179.6,0,1.28,1.16666666666667,107.922474238263,16.63928,264.2,71.6,,,99.96,37.5,35.2941176470588,0.89792,850.2,0.01952,0.853439989338145,32,,,,1,,1,,,,14.7,17.3436012295312,44,26.875,18,,,100,268.3,-40,100,-14.53125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2026-05-31,09:15:12.35100,6.94958,0,,,,15.6862745098039,1031.25,6,0,0,0,0,-23.6328125,86,14.15269,42.2532416,0,0,179.6,0,1.28,0.966666666666667,134.198269951446,17.60668,264.2,71.6,,,99.96,25,32.9411764705882,0.74176,850.2,0.01952,0.615337404077419,96,,,,1,,0,,,,14.7,17.1928341766406,44,27.5,19,,,100,268.3,-40,100,-14.53125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2026-05-31,09:15:12.65743,7.25749,0,,,,15.6862745098039,718.75,5,0,0,0,0,-24.4140625,86,13.63938,42.2532416,0,0,179.6,0,1.536,0.84,154.434517007616,21.2828,264.2,71.6,,,99.96,25,42.3529411764706,0.05856,850.2,0,0.497003287908684,40,,,,1,,1,,,,14.7,21.2674648064062,55,33.75,20,,,100,268.3,-40,100,-14.6875,63.5,,0,207.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2026-05-31,09:15:13.00116,7.59936,0,,,,15.2941176470588,625,13,0,0,0,0,-23.828125,86,13.34606,41.0104992,0,0,179.6,0,1.536,0.72,174.874379552742,23.60456,264.2,71.6,,,99.96,25,48.6274509803922,0,850.2,0,0.463295994212136,32,,,,1,,1,,,,14.7,20.6643965948437,62,38.125,18,,,100,268.3,-40,100,-13.28125,63.5,,0,207.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
